Date,Home_team,Away_team,Home_score,Away_score,Match_type
11/14/2021,Liaoning,Guangsha,102,94,0
11/14/2021,Tianjin,Jiangsu,97,77,0
11/14/2021,Qingdao,Fujian,99,91,0
11/14/2021,Jilin,Xinjiang,88,86,0
12/25/2021,Fujian,Shanxi,131,142,0
12/25/2021,Shenzhen,Tongxi,120,84,0
12/25/2021,Beijing,Liaoning,99,76,0
12/26/2021,Sichuan,Ningbo,111,106,0
12/26/2021,Jiangsu,Shandong,87,93,0
12/26/2021,Beikong,Shanghai,83,102,0
12/26/2021,Tianjin,Jilin,107,99,0
12/26/2021,Guangsha,Guangdong,98,86,0
12/26/2021,Qingdao,Guangzhou,117,100,0
12/27/2021,Xinjiang,Zhejiang,102,107,0
12/27/2021,Beijing,Tongxi,119,78,0
12/28/2021,Ningbo,Qingdao,83,110,0
12/28/2021,Jilin,Fujian,104,99,0
12/28/2021,Shandong,Sichuan,101,102,0
12/28/2021,Guangdong,Shanxi,99,125,0
12/28/2021,Shenzhen,Guangsha,106,105,0
12/28/2021,Liaoning,Tianjin,112,93,0
12/29/2021,Jiangsu,Beikong,74,91,0
12/29/2021,Guangzhou,Zhejiang,82,92,0
12/29/2021,Xinjiang,Shanghai,112,121,0
12/30/2021,Liaoning,Fujian,128,109,0
12/30/2021,Tongxi,Tianjin,103,124,0
12/30/2021,Shandong,Qingdao,112,105,0
12/30/2021,Jilin,Guangdong,99,116,0
12/30/2021,Guangsha,Beijing,94,91,0
12/31/2021,Xinjiang,Jiangsu,125,97,0
12/31/2021,Shanghai,Guangzhou,105,101,0
12/31/2021,Shanxi,Shenzhen,119,113,0
12/31/2021,Zhejiang,Ningbo,114,100,0
12/31/2021,Beikong,Sichuan,91,83,0
1/1/2022,Tianjin,Guangsha,84,105,0
1/1/2022,Fujian,Tongxi,118,94,0
1/1/2022,Guangdong,Liaoning,95,115,0
1/2/2022,Jilin,Shenzhen,106,103,0
1/2/2022,Sichuan,Xinjiang,103,109,0
1/2/2022,Guangzhou,Jiangsu,90,84,0
1/2/2022,Qingdao,Beikong,100,80,0
1/2/2022,Beijing,Shanxi,112,118,0
1/2/2022,Zhejiang,Shandong,113,86,0
1/3/2022,Ningbo,Shanghai,85,119,0
1/3/2022,Tongxi,Guangdong,86,101,0
1/3/2022,Fujian,Guangsha,84,109,0
1/4/2022,Shanxi,Tianjin,130,123,0
1/4/2022,Beijing,Jilin,105,76,0
1/4/2022,Beikong,Zhejiang,90,102,0
1/4/2022,Guangzhou,Sichuan,103,110,0
1/4/2022,Shenzhen,Liaoning,80,93,0
1/4/2022,Xinjiang,Qingdao,92,89,0
1/5/2022,Jiangsu,Ningbo,102,104,0
1/5/2022,Shanghai,Shandong,100,117,0
1/6/2022,Guangzhou,Qingdao,108,97,0
1/6/2022,Shanxi,Guangdong,96,111,0
1/6/2022,Guangsha,Shenzhen,118,84,0
1/6/2022,Fujian,Jilin,99,110,0
1/6/2022,Sichuan,Beikong,78,93,0
1/6/2022,Tianjin,Tongxi,121,101,0
1/7/2022,Ningbo,Zhejiang,64,99,0
1/7/2022,Shanghai,Xinjiang,121,96,0
1/7/2022,Shandong,Jiangsu,105,100,0
1/7/2022,Liaoning,Beijing,103,95,0
1/8/2022,Beikong,Qingdao,94,88,0
1/8/2022,Tongxi,Fujian,98,130,0
1/8/2022,Guangdong,Jilin,99,95,0
1/8/2022,Shenzhen,Shanxi,126,110,0
1/9/2022,Tianjin,Liaoning,88,106,0
1/9/2022,Jiangsu,Xinjiang,93,98,0
1/9/2022,Sichuan,Shandong,83,94,0
1/9/2022,Beijing,Guangsha,88,99,0
1/9/2022,Zhejiang,Guangzhou,104,113,0
1/9/2022,Shanghai,Ningbo,119,93,0
1/10/2022,Guangdong,Tongxi,101,87,0
1/10/2022,Shanxi,Fujian,120,109,0
1/11/2022,Ningbo,Sichuan,78,105,0
1/11/2022,Liaoning,Shenzhen,92,90,0
1/11/2022,Jiangsu,Guangzhou,72,80,0
1/11/2022,Guangsha,Tianjin,125,94,0
1/11/2022,Shandong,Shanghai,97,125,0
1/11/2022,Zhejiang,Beikong,96,84,0
1/12/2022,Qingdao,Xinjiang,100,119,0
1/12/2022,Jilin,Beijing,75,106,0
1/13/2022,Shanghai,Beikong,118,104,0
1/13/2022,Ningbo,Jiangsu,66,89,0
1/13/2022,Guangsha,Fujian,125,111,0
1/13/2022,Liaoning,Guangdong,102,90,0
1/13/2022,Sichuan,Guangzhou,71,92,0
1/14/2022,Tongxi,Beijing,77,114,0
1/14/2022,Zhejiang,Xinjiang,98,91,0
1/14/2022,Tianjin,Shanxi,113,109,0
1/14/2022,Qingdao,Shandong,98,104,0
1/14/2022,Shenzhen,Jilin,102,103,0
1/15/2022,Beikong,Jiangsu,114,82,0
1/15/2022,Guangdong,Guangsha,94,114,0
1/15/2022,Guangzhou,Shanghai,84,103,0
1/15/2022,Fujian,Liaoning,83,109,0
1/16/2022,Shandong,Zhejiang,94,100,0
1/16/2022,Tongxi,Shenzhen,102,122,0
1/16/2022,Qingdao,Ningbo,119,78,0
1/16/2022,Shanxi,Beijing,90,115,0
1/16/2022,Xinjiang,Sichuan,97,102,0
1/16/2022,Jilin,Tianjin,99,101,0
1/18/2022,Ningbo,Beikong,96,124,0
1/18/2022,Fujian,Guangdong,104,108,0
1/18/2022,Shandong,Xinjiang,89,103,0
1/18/2022,Shanghai,Jiangsu,107,74,0
1/18/2022,Liaoning,Guangzhou,110,98,0
1/18/2022,Shenzhen,Zhejiang,100,94,0
1/19/2022,Tongxi,Jilin,81,112,0
1/19/2022,Beijing,Tianjin,114,126,0
1/19/2022,Guangsha,Shanxi,118,122,0
1/19/2022,Sichuan,Qingdao,98,87,0
1/20/2022,Shandong,Ningbo,114,92,0
1/20/2022,Jiangsu,Zhejiang,68,108,0
1/20/2022,Liaoning,Xinjiang,87,109,0
1/20/2022,Shenzhen,Shanghai,119,103,0
1/20/2022,Beikong,Guangzhou,119,111,0
1/21/2022,Fujian,Qingdao,116,105,0
1/21/2022,Jilin,Guangsha,101,94,0
1/21/2022,Beijing,Sichuan,98,69,0
1/21/2022,Shanxi,Tongxi,116,100,0
1/21/2022,Guangdong,Tianjin,118,91,0
1/22/2022,Beikong,Liaoning,80,85,0
1/22/2022,Guangzhou,Shandong,116,106,0
1/22/2022,Jiangsu,Shenzhen,80,90,0
1/22/2022,Zhejiang,Shanghai,85,91,0
1/22/2022,Ningbo,Xinjiang,91,114,0
1/23/2022,Tianjin,Sichuan,115,86,0
1/23/2022,Guangsha,Tongxi,117,95,0
1/23/2022,Guangdong,Qingdao,98,91,0
1/23/2022,Jilin,Shanxi,104,87,0
1/23/2022,Beijing,Fujian,106,86,0
1/24/2022,Liaoning,Ningbo,118,102,0
1/24/2022,Zhejiang,Shenzhen,90,78,0
1/25/2022,Tongxi,Xinjiang,84,120,0
1/25/2022,Tianjin,Beijing,96,112,0
1/25/2022,Guangzhou,Shanxi,111,105,0
1/25/2022,Qingdao,Shanghai,107,110,0
1/25/2022,Shandong,Guangsha,97,94,0
1/26/2022,Sichuan,Guangdong,76,110,0
1/26/2022,Beikong,Jilin,87,88,0
1/26/2022,Jiangsu,Fujian,101,109,0
1/27/2022,Tongxi,Liaoning,109,129,0
1/27/2022,Qingdao,Zhejiang,88,93,0
1/27/2022,Ningbo,Guangzhou,105,125,0
1/27/2022,Shenzhen,Beijing,104,97,0
1/28/2022,Sichuan,Jiangsu,100,84,0
1/28/2022,Xinjiang,Jilin,96,117,0
1/28/2022,Fujian,Tianjin,85,105,0
1/28/2022,Shanxi,Shandong,112,116,0
1/28/2022,Guangdong,Shanghai,101,108,0
1/28/2022,Guangsha,Beikong,110,83,0
3/1/2022,Shanxi,Zhejiang,106,146,0
3/1/2022,Beijing,Xinjiang,106,65,0
3/1/2022,Shanghai,Tongxi,134,110,0
3/1/2022,Tianjin,Guangzhou,106,110,0
3/1/2022,Liaoning,Qingdao,85,108,0
3/1/2022,Guangdong,Shandong,127,101,0
3/2/2022,Jilin,Jiangsu,99,82,0
3/2/2022,Ningbo,Fujian,109,106,0
3/2/2022,Guangsha,Sichuan,106,57,0
3/2/2022,Beikong,Shenzhen,89,101,0
3/3/2022,Zhejiang,Tongxi,124,92,0
3/3/2022,Shandong,Tianjin,114,117,0
3/3/2022,Qingdao,Shanxi,110,105,0
3/3/2022,Xinjiang,Guangdong,109,107,0
3/3/2022,Liaoning,Shanghai,100,102,0
3/3/2022,Guangzhou,Beijing,74,108,0
3/4/2022,Jiangsu,Guangsha,88,110,0
3/4/2022,Fujian,Beikong,79,112,0
3/4/2022,Sichuan,Jilin,91,104,0
3/4/2022,Shenzhen,Ningbo,103,81,0
3/5/2022,Shanxi,Qingdao,98,85,0
3/5/2022,Tianjin,Xinjiang,120,102,0
3/5/2022,Zhejiang,Liaoning,97,96,0
3/5/2022,Guangdong,Guangzhou,98,89,0
3/6/2022,Sichuan,Guangsha,80,110,0
3/6/2022,Fujian,Ningbo,117,111,0
3/6/2022,Shenzhen,Shandong,118,115,0
3/6/2022,Jilin,Shanghai,118,108,0
3/6/2022,Beijing,Beikong,83,79,0
3/6/2022,Tongxi,Jiangsu,95,80,0
3/7/2022,Qingdao,Liaoning,101,111,0
3/7/2022,Guangzhou,Tianjin,98,113,0
3/8/2022,Jilin,Sichuan,101,86,0
3/8/2022,Ningbo,Shenzhen,94,121,0
3/8/2022,Tongxi,Shanghai,91,131,0
3/8/2022,Shandong,Beijing,112,103,0
3/8/2022,Guangsha,Zhejiang,107,95,0
3/8/2022,Xinjiang,Fujian,145,116,0
3/9/2022,Jiangsu,Shanxi,84,111,0
3/9/2022,Beikong,Guangdong,106,93,0
3/10/2022,Qingdao,Guangsha,89,121,0
3/10/2022,Beijing,Guangzhou,84,56,0
3/10/2022,Sichuan,Tongxi,96,84,0
3/10/2022,Fujian,Shandong,115,143,0
3/10/2022,Shanghai,Jilin,94,81,0
3/10/2022,Shenzhen,Xinjiang,115,116,0
3/11/2022,Liaoning,Jiangsu,101,75,0
3/11/2022,Guangdong,Ningbo,111,88,0
3/11/2022,Zhejiang,Shanxi,111,109,0
3/11/2022,Tianjin,Beikong,115,93,0
3/12/2022,Tongxi,Qingdao,98,119,0
3/12/2022,Fujian,Xinjiang,134,140,0
3/12/2022,Guangsha,Shanghai,101,95,0
3/12/2022,Shandong,Shenzhen,106,111,0
3/13/2022,Jiangsu,Jilin,95,109,0
3/13/2022,Ningbo,Tianjin,88,110,0
3/13/2022,Shanxi,Sichuan,117,99,0
3/13/2022,Beikong,Beijing,81,97,0
3/13/2022,Liaoning,Zhejiang,101,82,0
3/13/2022,Guangzhou,Guangdong,120,101,0
3/14/2022,Guangsha,Qingdao,96,103,0
3/14/2022,Xinjiang,Shenzhen,104,105,0
3/15/2022,Sichuan,Liaoning,85,121,0
3/15/2022,Guangdong,Beikong,109,80,0
3/15/2022,Jilin,Zhejiang,115,111,0
3/15/2022,Guangzhou,Fujian,125,107,0
3/15/2022,Jiangsu,Tongxi,99,91,0
3/15/2022,Tianjin,Shandong,134,124,0
3/16/2022,Shanghai,Shanxi,135,111,0
3/16/2022,Beijing,Ningbo,106,70,0
3/17/2022,Qingdao,Jilin,80,98,0
3/17/2022,Beikong,Tianjin,112,116,0
3/17/2022,Tongxi,Sichuan,106,110,0
3/17/2022,Shenzhen,Guangzhou,114,120,0
3/17/2022,Zhejiang,Guangsha,101,104,0
3/17/2022,Shandong,Fujian,113,102,0
3/18/2022,Shanxi,Jiangsu,114,84,0
3/18/2022,Ningbo,Guangdong,80,106,0
3/18/2022,Shanghai,Liaoning,101,121,0
3/18/2022,Xinjiang,Beijing,111,100,0
3/19/2022,Qingdao,Tongxi,104,82,0
3/19/2022,Shenzhen,Beikong,107,126,0
3/19/2022,Zhejiang,Jilin,115,100,0
3/19/2022,Fujian,Guangzhou,75,98,0
3/20/2022,Jiangsu,Liaoning,95,108,0
3/20/2022,Beijing,Shandong,89,96,0
3/20/2022,Shanghai,Guangsha,80,122,0
3/20/2022,Tianjin,Ningbo,113,98,0
3/20/2022,Sichuan,Shanxi,101,119,0
3/20/2022,Guangdong,Xinjiang,118,99,0
3/21/2022,Tongxi,Zhejiang,78,127,0
3/21/2022,Beikong,Fujian,109,92,0
3/21/2022,Guangzhou,Shenzhen,104,119,0
3/21/2022,Jilin,Qingdao,120,100,0
3/22/2022,Liaoning,Sichuan,134,90,0
3/22/2022,Ningbo,Beijing,84,118,0
3/22/2022,Xinjiang,Tianjin,124,119,0
3/22/2022,Guangsha,Jiangsu,97,80,0
3/22/2022,Shanxi,Shanghai,151,128,0
3/22/2022,Shandong,Guangdong,111,110,0
4/1/2022,Guangdong,Tianjin,124,101,1
4/1/2022,Guangzhou,Shanxi,101,120,1
4/2/2022,Shenzhen,Shandong,115,101,1
4/2/2022,Beijing,Jilin,102,104,1
4/3/2022,Shanxi,Guangzhou,95,106,1
4/3/2022,Tianjin,Guangdong,104,122,1
4/4/2022,Jilin,Beijing,80,75,1
4/4/2022,Shandong,Shenzhen,108,120,1
4/5/2022,Guangzhou,Shanxi,93,114,1
